EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2249039;1;01/01/1979;1;;;;;0;0;0;;0;3,4;;15,0;2,3;0,5;0,0;0,0;0,0;0,0;0,0;;2,6;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,2;0,0;0,0;0,0;0,0;0,1;9,6;4,9;90,4;0,6;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/12/1978;1;53,4;173,8;27;15;1;1;1;;0;0,0;0,0;0,2;0,0;0,0;3,0;2,9;34,6;23,4;0,0;0,0;0,0;0,0;0,0;2,2;1,3;17,8;9,0;0,0;0,0;0,0;0,0;0,0;0,0;11,0;10,8;53,4;3,2;0,6;0,4;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/11/1978;1;52,9;188,8;5;11;1;1;1;;0;0,8;0,0;0,0;8,6;52,9;3,2;0,0;0,0;0,0;0,0;38,4;39,8;0,0;0,0;0,0;2,6;11,2;0,0;0,0;0,0;0,0;0,0;0,0;2,3;0,0;0,0;2,4;26,6;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/10/1978;1;37,6;99,2;19;10;1;1;1;;0;0,0;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;26,0;0,0;0,0;3,1;0,4;0,0;5,0;0,0;37,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,8;1,0;0,8;8,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/09/1978;1;25,2;84,4;15;7;1;1;1;;0;7,8;0,0;0,0;0,0;17,0;17,4;0,0;13,0;0,0;0,0;0,0;0,0;0,0;0,0;25,2;0,0;2,2;0,0;0,0;0,0;0,0;1,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/08/1978;1;1,7;2,0;14;2;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;1,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/07/1978;1;55,0;159,0;16;8;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,2;0,0;0,0;0,0;0,0;0,0;0,0;55,0;0,0;17,8;0,0;18,2;20,2;3,6;0,3;0,0;42,7;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/06/1978;1;21,1;21,1;9;1;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;21,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/05/1978;1;64,8;139,1;17;8;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,2;64,8;19,6;1,7;0,0;36,0;0,0;0,4;0,0;0,0;0,0;0,0;0,0;0,0;3,8;2,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/04/1978;1;27,4;27,4;2;1;1;1;1;;0;0,0;27,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/03/1978;1;35,6;189,4;3;13;1;1;1;;0;2,4;0,0;35,6;30,2;0,3;0,0;0,0;9,3;17,4;29,6;34,3;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;17,6;0,0;8,8;2,6;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/02/1978;1;47,3;119,7;22;12;1;1;1;;0;0,0;0,0;0,0;0,0;1,1;24,7;6,6;0,0;0,0;0,0;0,0;11,8;0,0;0,0;0,0;0,4;9,0;5,8;0,0;0,0;0,0;47,3;1,8;2,0;0,0;0,0;0,2;9,0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
